Designator,Mid X,Mid Y,Rotation,Layer
C1,153.0,-63.75,180.0,top
C10,171.75,-69.75,90.0,top
C11,175.0,-69.75,90.0,top
C12,178.25,-69.75,90.0,top
C13,152.25,-73.5,270.0,top
C14,153.0,-71.25,0.0,top
C15,155.25,-73.5,270.0,top
C16,150.75,-73.5,90.0,top
C17,180.75,-71.75,90.0,bottom
C18,180.75,-63.0,270.0,bottom
C19,189.25,-71.75,90.0,bottom
C2,158.25,-61.5,270.0,top
C20,189.25,-63.0,270.0,bottom
C21,166.25,-69.25,270.0,top
C22,178.75,-63.25,270.0,top
C23,172.5,-76.5,90.0,top
C25,164.75,-77.25,90.0,top
C26,162.5,-77.25,90.0,top
C3,156.0,-63.75,180.0,top
C4,176.5,-63.25,270.0,top
C5,174.25,-63.25,270.0,top
C6,172.0,-63.25,270.0,top
C7,169.75,-63.25,270.0,top
C8,150.75,-67.5,90.0,top
C9,168.5,-69.75,90.0,top
D1,160.25,-76.75,270.0,top
D2,185.0,-65.25,270.0,top
D3,153.0,-60.75,0.0,top
D4,156.75,-77.5,90.0,top
F1,186.25,-77.25,0.0,top
L1,165.75,-68.25,180.0,bottom
L2,168.75,-76.5,180.0,top
Q1,162.75,-70.6,180.0,top
Q2,163.55,-64.0,90.0,top
R1,156.75,-61.5,90.0,top
R10,157.5,-72.75,180.0,top
R11,150.75,-70.5,90.0,top
R12,156.0,-71.25,180.0,top
R13,158.25,-64.5,90.0,top
R14,179.0,-77.25,270.0,top
R15,177.5,-77.25,90.0,top
R16,158.25,-77.5,90.0,top
R17,155.0,-77.5,270.0,top
R2,153.0,-62.25,0.0,top
R3,155.25,-61.5,90.0,top
R4,158.25,-67.5,90.0,top
R5,150.75,-61.5,270.0,top
R6,150.75,-64.5,270.0,top
R7,158.25,-70.5,270.0,top
R8,153.75,-73.5,270.0,top
R9,157.5,-74.25,180.0,top
U1,154.5,-67.5,90.0,top
U2,175.0,-76.5,270.0,top
